year,date,month,arrest_type,offense,age,age_group,sex,race,weapon,offense_group,race_new
2021,2021-08-03,Aug,On View,Crime against sociey,24,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-03,Aug,Custodied,"Theft, Auto-theft, and Larceny",45,40-49,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-03,Aug,On View,Assault or Intimidation,28,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-12,Aug,Custodied,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-03,Aug,On View,Assault or Intimidation,23,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-03,Aug,On View,Drug-related,27,20-29,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-08-03,Aug,On View,Robbery,45,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-03,Aug,On View,Aggravated Assault,37,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-03,Aug,On View,Assault or Intimidation,41,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-03,Aug,On View,Aggravated Assault,32,30-39,Female,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-08-03,Aug,On View,Drug-related,57,50 or above,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-08-04,Aug,On View,Crime against sociey,18,Under 20,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-04,Aug,On View,Sexual Assault or Rape,40,40-49,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-09,Aug,Custodied,Assault or Intimidation,50,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-04,Aug,On View,Drug-related,36,30-39,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-08-04,Aug,On View,Drug-related,53,50 or above,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-08-04,Aug,On View,Assault or Intimidation,38,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-04,Aug,On View,Assault or Intimidation,37,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-04,Aug,On View,Crime against sociey,38,30-39,Male,Black or African American,Weapon with a blade,Crime Against Society,Black or African American
2021,2021-08-04,Aug,On View,Assault or Intimidation,25,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-04,Aug,On View,Crime against sociey,23,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-04,Aug,On View,Assault or Intimidation,43,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-04,Aug,On View,Assault or Intimidation,52,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-04,Aug,On View,Aggravated Assault,54,50 or above,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-04,Aug,On View,Crime against sociey,42,40-49,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-04,Aug,On View,Crime against sociey,35,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-04,Aug,On View,Assault or Intimidation,91,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,Custodied,Assault or Intimidation,29,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,"Theft, Auto-theft, and Larceny",45,40-49,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,33,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,43,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,Custodied,"Theft, Auto-theft, and Larceny",37,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-05,Aug,On View,Robbery,18,Under 20,Male,White,Firearm-involved,Violent Crimes,White
2021,2021-08-05,Aug,Custodied,Assault or Intimidation,43,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,41,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,63,50 or above,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Crime against sociey,19,Under 20,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-05,Aug,On View,Drug-related,32,30-39,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,20,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,22,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,24,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,45,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,23,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Assault or Intimidation,41,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-05,Aug,On View,Property Destruction,25,20-29,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,49,40-49,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-06,Aug,On View,Assault or Intimidation,57,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,58,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,29,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,38,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,36,30-39,Male,White,Weapon with a blade,Violent Crimes,White
2021,2021-08-06,Aug,On View,Assault or Intimidation,37,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-19,Aug,On View,Property Destruction,49,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,24,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,Custodied,Assault or Intimidation,47,40-49,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-06,Aug,On View,Assault or Intimidation,40,40-49,Female,White,Unarmed,Violent Crimes,White
2021,2021-08-06,Aug,On View,"Theft, Auto-theft, and Larceny",56,50 or above,Male,White,Unarmed,Property Crimes,White
2021,2021-08-06,Aug,On View,"Theft, Auto-theft, and Larceny",44,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,32,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-06,Aug,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-19,Aug,Custodied,Aggravated Assault,54,50 or above,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Property Destruction,59,50 or above,Male,Black or African American,Weapon with a blade,Property Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,29,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,37,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Burglary or Trespassing,33,30-39,Male,White,Unarmed,Property Crimes,White
2021,2021-08-07,Aug,On View,Assault or Intimidation,32,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,28,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,32,30-39,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Property Destruction,50,50 or above,Male,Black or African American,Firearm-involved,Property Crimes,Black or African American
2021,2021-08-07,Aug,On View,Crime against sociey,32,30-39,Female,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2021-08-08,Aug,Custodied,Murder and Nonnegligent Manslaughter,25,20-29,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,35,30-39,Female,White,Unarmed,Violent Crimes,White
2021,2021-08-07,Aug,On View,Aggravated Assault,40,40-49,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Aggravated Assault,40,40-49,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Aggravated Assault,25,20-29,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-07,Aug,Custodied,Aggravated Assault,41,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,67,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-07,Aug,On View,Property Destruction,42,40-49,Female,White,Unarmed,Property Crimes,White
2021,2021-08-07,Aug,On View,Crime against sociey,39,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,41,40-49,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-07,Aug,On View,Property Destruction,29,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-07,Aug,On View,Assault or Intimidation,23,20-29,Female,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Assault or Intimidation,60,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Assault or Intimidation,20,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-15,Aug,On View,Sexual Assault or Rape,38,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Crime against sociey,30,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-08,Aug,On View,Property Destruction,57,50 or above,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-08,Aug,On View,Assault or Intimidation,37,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Assault or Intimidation,56,50 or above,Male,White,Firearm-involved,Violent Crimes,White
2021,2021-08-08,Aug,On View,Assault or Intimidation,50,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Assault or Intimidation,42,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-23,Aug,On View,"Theft, Auto-theft, and Larceny",42,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-08,Aug,On View,Crime against sociey,43,40-49,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-08,Aug,On View,Sexual Assault or Rape,36,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Crime against sociey,28,20-29,Female,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-08,Aug,On View,Aggravated Assault,26,20-29,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Aggravated Assault,36,30-39,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Assault or Intimidation,66,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-08,Aug,On View,Assault or Intimidation,22,20-29,Male,White,Firearm-involved,Violent Crimes,White
2021,2021-08-08,Aug,On View,Assault or Intimidation,43,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,"Theft, Auto-theft, and Larceny",17,Under 20,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-08,Aug,On View,Property Destruction,56,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-08,Aug,On View,Aggravated Assault,40,40-49,Female,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-09-12,Sep,Custodied,Assault or Intimidation,47,40-49,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-09,Aug,On View,Property Destruction,58,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-08,Aug,On View,Drug-related,56,50 or above,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,38,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,30,30-39,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-09,Aug,On View,Property Destruction,28,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-23,Aug,On View,"Theft, Auto-theft, and Larceny",42,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,34,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,Custodied,Murder and Nonnegligent Manslaughter,45,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,"Theft, Auto-theft, and Larceny",68,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,Burglary or Trespassing,33,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-09,Aug,On View,"Theft, Auto-theft, and Larceny",42,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-09,Aug,On View,Aggravated Assault,26,20-29,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-09,Aug,Custodied,"Theft, Auto-theft, and Larceny",34,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-09,Aug,On View,Crime against sociey,28,20-29,Female,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,34,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,24,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-10,Aug,On View,"Theft, Auto-theft, and Larceny",27,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-09,Aug,Custodied,Aggravated Assault,35,30-39,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,Crime against sociey,30,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,47,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,37,30-39,Female,White,Unarmed,Violent Crimes,White
2021,2021-08-09,Aug,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-09,Aug,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-10,Aug,On View,Property Destruction,41,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-10,Aug,On View,Assault or Intimidation,39,30-39,Female,White,Unarmed,Violent Crimes,White
2021,2021-08-30,Aug,Custodied,Burglary or Trespassing,57,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-19,Aug,On View,Property Destruction,49,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-10,Aug,On View,Assault or Intimidation,53,50 or above,Male,White,Weapon with a blade,Violent Crimes,White
2021,2021-08-10,Aug,On View,Assault or Intimidation,45,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-12,Aug,Custodied,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-10,Aug,On View,Assault or Intimidation,23,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-10,Aug,On View,Assault or Intimidation,23,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-10,Aug,On View,Assault or Intimidation,49,40-49,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-10,Aug,On View,Assault or Intimidation,38,30-39,Male,White,Unarmed,Violent Crimes,White
2021,2021-08-14,Aug,Custodied,Assault or Intimidation,56,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-10,Aug,On View,Crime against sociey,44,40-49,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-10,Aug,On View,Assault or Intimidation,31,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-10,Aug,On View,Crime against sociey,23,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-10,Aug,On View,Fraud,32,30-39,Male,Asian,Firearm-involved,Property Crimes,Other races
2021,2021-08-11,Aug,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,39,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,46,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,42,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,29,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Aggravated Assault,41,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Burglary or Trespassing,51,50 or above,Male,Black or African American,Firearm-involved,Property Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,"Theft, Auto-theft, and Larceny",46,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,27,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,49,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,32,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,63,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-16,Aug,On View,Aggravated Assault,32,30-39,Male,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,41,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,34,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Robbery,24,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Robbery,17,Under 20,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,32,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-06,Sep,Custodied,Property Destruction,56,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-11,Aug,Summoned/Cited,Property Destruction,62,50 or above,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,54,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,27,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Property Destruction,41,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-11,Aug,On View,"Theft, Auto-theft, and Larceny",28,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,59,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Crime against sociey,29,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,58,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-11,Aug,On View,Assault or Intimidation,22,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-12,Aug,On View,Burglary or Trespassing,27,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-12,Aug,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-12,Aug,On View,Assault or Intimidation,38,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-01,Sep,Custodied,Assault or Intimidation,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-12,Aug,On View,Assault or Intimidation,38,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-12,Aug,On View,Assault or Intimidation,63,50 or above,Male,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-08-12,Aug,On View,Property Destruction,67,50 or above,Female,White,Unarmed,Property Crimes,White
2021,2021-08-12,Aug,On View,"Theft, Auto-theft, and Larceny",33,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-12,Aug,On View,"Theft, Auto-theft, and Larceny",55,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-12,Aug,On View,"Theft, Auto-theft, and Larceny",36,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-12,Aug,On View,Assault or Intimidation,36,30-39,Male,White,Firearm-involved,Violent Crimes,White
2021,2021-08-12,Aug,On View,Property Destruction,46,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-12,Aug,On View,Assault or Intimidation,17,Under 20,Female,Black or African American,Firearm-involved,Violent Crimes,Black or African American
